SS 10,Senses,Sound Awareness,No,Automatic identification of other threatening individuals of the same species near the target is possible.,TAP (button) to use your senses and choose the Sense of Hearing. Then follow the steps proposed by the Contextual Actions UI until identification.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Sound_Awareness_(SS_10),
SS 10-2,Senses,Sound Awareness,No,Automatic identification of all threatening individuals of the same species is possible.,TAP (button) to use your senses and choose the Sense of Hearing. Then follow the steps proposed by the Contextual Actions UI until identification.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Sound_Awareness_(SS_10-2),
SS 10-3,Senses,Sound Awareness,No,Automatic identification of all threatening individuals is possible.,TAP (button) to use your senses and choose the Sense of Hearing. Then follow the steps proposed by the Contextual Actions UI until identification.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Sound_Awareness_(SS_10-3),
SX 01,Senses,Sensory Memory,No,Inspection of the quality of a food source is faster.,HOLD (button) to inspect the food item you have in hand.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Sensory_Memory_(SX_01),
SX 02,Senses,Sensory Memory,No,Inspection of the quality of a food source is faster.,HOLD (button) to inspect the food item you have in hand.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Sensory_Memory_(SX_02),
SX 03,Senses,Sensory Memory,No,Inspection of the quality of a food source brings immediate results.,HOLD (button) to inspect the food item you have in hand.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Sensory_Memory_(SX_03),
BB SS 01,Senses,Echoic Memory,Yes,It is possible to remember the position of one more item or living being.,TAP (button) to use your senses and choose the Sense of Hearing. Then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Echoic_Memory_(BB_SS_01),
BB SS 01-2,Senses,Echoic Memory,Yes,It is possible to remember the position of one more item or living being.,TAP (button) to use your senses and choose the Sense of Hearing. Then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Echoic_Memory_(BB_SS_01-2),
BB SX 01,Senses,Olfactory Memory,Yes,It is possible to remember the position of one more item or living being.,TAP (button) to use your senses and choose the Sense of Smell. Then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Olfactory_Memory_(BB_SX_01),
BB SX 01-2,Senses,Iconic Memory,Yes,It is possible to remember the position of one more item or living being.,TAP (button) to use your senses. Then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Iconic_Memory_(BB_SX_01-2),
BB SX 01-3,Senses,Olfactory Memory,Yes,It is possible to remember the position of one more item or living being.,TAP (button) to use your senses and choose the Sense of Smell. Then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Olfactory_Memory_(BB_SX_01-3),
BB SX 01-4,Senses,Iconic Memory,Yes,It is possible to remember the position of one more item or living being.,TAP (button) to use your senses. Then follow the steps proposed by the Contextual Actions UI.,Senses (neuronal branch); https://ancestors.fandom.com/wiki/Iconic_Memory_(BB_SX_01-4),
NE 01,Settlement,Building,No,One less item is needed to complete a construction.,TAP (button) to start construction when close to a stockpile of construction items.,Settlement (neuronal branch); https://ancestors.fandom.com/wiki/Building_(NE_01),
NE 02,Settlement,Building Efficiency,No,One less item is needed to complete a construction.,TAP (button) to start construction when close to a stockpile of construction items.,Settlement (neuronal branch); https://ancestors.fandom.com/wiki/Building_Efficiency_(NE_02),
NE 06,Settlement,Deep Sleep,No,"When sleeping in a sleep spot, less time is needed to fully recover.","TAP (button) to lie down when close to a sleep spot, then HOLD (button) to sleep.",Settlement (neuronal branch); https://ancestors.fandom.com/wiki/Deep_Sleep_(NE_06),
NE 07,Settlement,Deep Sleep,No,"When sleeping in a sleep spot, less time is needed to fully recover.","TAP (button) to lie down when close to a sleep spot, then HOLD (button) to sleep.",Settlement (neuronal branch); https://ancestors.fandom.com/wiki/Deep_Sleep_(NE_07),
NE 08,Settlement,Sleep Recovery,No,The healing virtues of sleeping in a sleep spot are increased.,"TAP (button) to lie down when close to a sleep spot, then HOLD (button) to sleep.",Settlement (neuronal branch); https://ancestors.fandom.com/wiki/Sleep_Recovery_(NE_08),
NE 09,Settlement,Well Rested Boost,No,"Less energy is burnt for all actions done after awakening, for a limited time.",,Settlement (neuronal branch); https://ancestors.fandom.com/wiki/Well_Rested_Boost_(NE_09),
NE 09-2,Settlement,Well Rested Boost,No,"Less energy is burnt for all actions done after awakening, for a limited time.",,Settlement (neuronal branch); https://ancestors.fandom.com/wiki/Well_Rested_Boost_(NE_09-2),
BB NE 01,Settlement,Sleep - Healing Efficiency,Yes,The healing virtues of sleeping in a sleep spot are increased.,"TAP (button) to lie down when close to a sleep spot, then HOLD (button) to sleep.",Settlement (neuronal branch); https://ancestors.fandom.com/wiki/Sleep_-_Healing_Efficiency_(BB_NE_01),
BB NE 01-2,Settlement,Sleep - Healing Efficiency,Yes,The healing virtues of sleeping in a sleep spot are increased.,"TAP (button) to lie down when close to a sleep spot, then HOLD (button) to sleep.",Settlement (neuronal branch); https://ancestors.fandom.com/wiki/Sleep_-_Healing_Efficiency_(BB_NE_01-2),
BB NE 01-3,Settlement,Sleep - Healing Efficiency,Yes,The healing virtues of sleeping are maximized.,,Settlement (neuronal branch); https://ancestors.fandom.com/wiki/Sleep_-_Healing_Efficiency_(BB_NE_01-3),
SW 01,Swim,Aquatic Locomotion,No,Swimming requires less energy and acceleration while swimming is possible.,HOLD (button) to speed up while swimming.,Swim (neuronal branch); https://ancestors.fandom.com/wiki/Aquatic_Locomotion_(SW_01),
SW 02,Swim,Swim Endurance,No,Swimming requires less energy.,,Swim (neuronal branch); https://ancestors.fandom.com/wiki/Swim_Endurance_(SW_02),
SW 03,Swim,Hydro-Dynamics,No,Swimming requires less energy.,,Swim (neuronal branch); https://ancestors.fandom.com/wiki/Hydro-Dynamics_(SW_03),
BB SW 01,Swim,Stroke Force,Yes,The swimming speed is maximized.,,Swim (neuronal branch); https://ancestors.fandom.com/wiki/Stroke_Force_(BB_SW_01),
BB SW 01-2,Swim,Stroke Force,Yes,The swimming speed is increased.,,Swim (neuronal branch); https://ancestors.fandom.com/wiki/Stroke_Force_(BB_SW_01-2),
CB 01,Therapeutic Medication,Laceration Tolerance,No,The body can withstand bleeding for a longer period of time.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Laceration_Tolerance_(CB_01),
CB 02,Therapeutic Medication,Internal Clotting Efficiency,No,The body can withstand bleeding for a longer period of time.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Internal_Clotting_Efficiency_(CB_02),
CB 03,Therapeutic Medication,Internal Clotting Efficiency,No,The ability for the body to withstand bleeding is maximized.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Internal_Clotting_Efficiency_(CB_03),
CI 01,Therapeutic Medication,Healing Injury,No,The recovery time following an injury is faster.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Healing_Injury_(CI_01),
CI 02,Therapeutic Medication,Trauma Relief,No,The recovery time following an injury is faster.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Trauma_Relief_(CI_02),
CI 03,Therapeutic Medication,Trauma Relief,No,The recovery time following an injury is faster.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Trauma_Relief_(CI_03),
CI 04,Therapeutic Medication,Trauma Relief,No,The speed of recovery following an injury is maximized.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Trauma_Relief_(CI_04),
CI 05,Therapeutic Medication,Trauma Relief Efficiency,No,One item with mending properties is now enough to fully recover from an injury.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Trauma_Relief_Efficiency_(CI_05),
CT 01,Therapeutic Medication,Metabolic Detoxification,No,The remission time from an intoxication is faster.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Metabolic_Detoxification_(CT_01),
CT 02,Therapeutic Medication,Venom Elimination,No,The remission time from a venom poisoning is faster.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Venom_Elimination_(CT_02),
CT 03,Therapeutic Medication,Venom Elimination,No,The remission time from a venom poisoning is faster.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Venom_Elimination_(CT_03),
CT 04,Therapeutic Medication,Venom Elimination,No,The remission time from a venom poisoning is maximized.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Venom_Elimination_(CT_04),
CT 05,Therapeutic Medication,Food Poison Elimination,No,The remission time from food poisoning is faster.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Food_Poison_Elimination_(CT_05),
CT 06,Therapeutic Medication,Food Poison Elimination,No,The remission time from food poisoning is faster.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Food_Poison_Elimination_(CT_06),
CT 07,Therapeutic Medication,Food Poison Elimination,No,The remission time from food poisoning is maximized.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Food_Poison_Elimination_(CT_07),
CT 08,Therapeutic Medication,Detoxification Efficiency,No,One curative element is now enough to cure all forms of intoxication.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Detoxification_Efficiency_(CT_08),
BB CI 01,Therapeutic Medication,Nociceptors Tolerance,Yes,The elements used to fight the effects of an injury are more effective.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Nociceptors_Tolerance_(BB_CI_01),
BB CI 02,Therapeutic Medication,Nociceptors Tolerance,Yes,The elements used to fight the effects of an injury are more effective.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Nociceptors_Tolerance_(BB_CI_02),
BB CI 03,Therapeutic Medication,Nociceptors Tolerance,Yes,The elements used to fight the effects of an injury are more effective.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Nociceptors_Tolerance_(BB_CI_03),
BB CT 01,Therapeutic Medication,Hydration-Detoxification Efficiency,Yes,Water consumption reduces the duration of intoxication more effectively.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Hydration-Detoxification_Efficiency_(BB_CT_01),
BB CT 02,Therapeutic Medication,Hydration-Detoxification Efficiency,Yes,Water consumption reduces the duration of intoxication more effectively.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Hydration-Detoxification_Efficiency_(BB_CT_02),
BB CT 03,Therapeutic Medication,Hydration-Detoxification Efficiency,Yes,Water consumption reduces the duration of intoxication more effectively.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Hydration-Detoxification_Efficiency_(BB_CT_03),
BB CT 04,Therapeutic Medication,Xenobiotic Metabolism,Yes,The elements used to fight venom poisonings are more effective.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Xenobiotic_Metabolism_(BB_CT_04),
BB CT 05,Therapeutic Medication,Xenobiotic Metabolism,Yes,The elements used to fight food poisonings are more effective.,,Therapeutic Medication (neuronal branch); https://ancestors.fandom.com/wiki/Xenobiotic_Metabolism_(BB_CT_05),
